Team,Rating
Arsenal,-0.926611848733508
Aston Villa,-0.23576168343390544
Bournemouth,-0.02046427909804396
Brentford,0.2404053802843946
Brighton,-0.08959774287730582
Chelsea,-0.6821483918776604
Crystal Palace,0.1655141831595287
Everton,0.34650721830821835
Fulham,0.0800142600374044
Ipswich,0.8862147180833587
Leicester,0.9027760407578936
Liverpool,-1.1654797501499519
Man City,-0.9604517904072434
Man United,-0.07863238297501264
Newcastle,-0.3675196712145219
Nott'm Forest,0.12775649798417157
Southampton,1.0206322745893928
Tottenham,-0.06639677456544119
West Ham,0.36411236237782807
Wolves,0.45913014774451494
